,med,lo_68,hi_68,lo_95,hi_95
2021-08-23,35.816901408450704,15.570285714285715,57.91151515151515,2.544444444444446,81.87142857142871
2021-08-24,35.19811320754717,15.897627118644067,58.02971428571429,2.414423076923077,82.88166666666667
2021-08-25,36.633333333333326,15.214814814814815,58.773684210526284,2.2625,81.05769230769225
2021-08-26,37.19767441860465,15.830434782608695,60.616216216216216,2.1927083333333335,83.89583333333327
2021-08-27,38.525641025641036,16.013333333333335,61.158518518518505,4.1625000000000005,84.79107142857143
2021-08-28,38.5,16.002399999999998,60.51151515151518,2.396153846153846,84.2176470588236
2021-08-29,38.1,16.199130434782607,60.548421052631596,2.7583333333333333,83.66818181818185
2021-08-30,38.00892857142857,16.30962962962963,59.93199999999998,2.1798076923076923,84.3089285714287
2021-08-31,38.11290322580645,15.52086956521739,59.92159999999997,2.302941176470589,81.98636363636356
2021-09-01,38.59574468085107,16.04923076923077,61.49777777777778,2.5736842105263165,85.33888888888893
2021-09-02,38.19827586206897,15.301176470588235,61.156666666666666,2.369,84.48125
2021-09-03,38.508620689655174,15.861176470588234,60.84914285714285,2.9875000000000007,84.09038461538465
2021-09-04,39.64545454545454,15.993684210526315,62.2757894736842,2.428125,84.817857142857
2021-09-05,39.84285714285714,15.52,63.35724137931033,2.0215909090909094,86.03750000000001
2021-09-06,39.10227272727272,14.776969696969697,62.88625000000001,1.8397727272727273,84.04375000000003
2021-09-07,39.20454545454545,15.576774193548387,62.86909090909092,2.3456521739130434,84.61923076923084
2021-09-08,40.14772727272725,15.229677419354838,62.433749999999996,2.1443181818181816,84.75576923076935
2021-09-09,39.511627906976756,15.298285714285715,63.46240000000002,1.785416666666667,85.28749999999992
2021-09-10,40.86363636363636,14.98888888888889,64.97142857142858,1.4404761904761905,85.15909090909103
2021-09-11,41.44642857142857,15.884444444444444,65.23272727272726,2.313235294117647,86.63958333333329
2021-09-12,41.08108108108108,15.180952380952384,64.65882352941173,1.9078947368421053,84.06818181818183
2021-09-13,40.432432432432435,14.326153846153849,64.97600000000003,2.09423076923077,86.23666666666668
2021-09-14,39.858695652173914,13.77032258064516,63.907096774193555,1.4580357142857143,84.70576923076929
2021-09-15,40.55128205128205,12.66,64.74736842105264,1.1291666666666667,85.54166666666669
