date,confirmed,hospitalizations,hospitalizations_/_confirmed_7_days_moving_average
2021-05-27,236,27,0.08985841659743388
2021-05-28,269,19,0.0926676832205767
2021-05-29,225,17,0.09479932766721165
2021-05-30,117,18,0.09815239303128831
2021-05-31,174,16,0.09067556243932037
2021-06-01,204,18,0.09204080658004322
2021-06-02,119,11,0.09585754539678204
2021-06-03,145,9,0.0906862461078357
2021-06-04,212,17,0.09330625963048612
2021-06-05,176,18,0.08918778055568788
2021-06-06,85,10,0.08907773653808083
2021-06-07,136,15,0.09285296649579478
2021-06-08,202,12,0.08882931537322337
2021-06-09,120,11,0.0936364014909891
2021-06-10,113,10,0.09587729784953251
2021-06-11,173,9,0.09032507696117717
2021-06-12,103,14,0.08919145519563927
2021-06-13,45,6,0.08630029873305423
2021-06-14,98,7,0.08843639882460137
2021-06-15,136,7,0.1062146083743172
2021-06-16,98,7,0.09329063913966837
2021-06-17,87,9,0.08694143279046203
2021-06-18,68,12,0.08626116068161849
2021-06-19,88,4,0.09251366168201865
2021-06-20,45,4,0.08699342079878011
2021-06-21,60,4,0.07667938138991312
2021-06-22,84,8,0.06280716583702528
2021-06-23,61,2,0.0647170206880566
2021-06-24,64,2,0.06916146513250103
2021-06-25,63,5,0.0739233698944058
2021-06-26,68,4,0.06783672471001624
2021-06-27,25,3,0.06542045765674685
2021-06-28,40,4,0.06809902908531829
2021-06-29,38,2,0.05846184087670151
2021-06-30,63,1,0.05555298502666918
2021-07-01,80,4,0.04462130800803564
2021-07-02,84,1,0.03809956887760086
2021-07-03,78,3,0.034549025853373626
2021-07-04,23,1,0.03870199790361695
2021-07-05,92,5,0.0368501460517651
2021-07-06,144,4,0.04507010070029117
2021-07-07,89,4,0.04455071958389513
2021-07-08,135,5,0.04839990163270976
2021-07-09,144,10,0.04684710660165386
2021-07-10,201,7,0.0510633764429237
2021-07-11,71,5,0.0474078076550606
2021-07-12,184,8,0.046693461402956916
2021-07-13,384,22,0.04161061817270333
2021-07-14,310,6,0.040914624801835484
2021-07-15,437,14,0.037347769122303746
2021-07-16,502,17,0.0398606893252339
2021-07-17,434,13,0.036675204162124234
2021-07-18,242,11,0.040810303871117413
2021-07-19,393,24,0.043493597993808315
2021-07-20,743,26,0.042770092017712695
2021-07-21,559,27,0.04644219345149945
2021-07-22,610,31,0.05559494546139431
2021-07-23,625,18,0.05093375470173727
2021-07-24,539,30,0.050233657854264924
2021-07-25,210,23,0.04934608719925241
2021-07-26,1090,31,0.04743541031204631
2021-07-27,864,26,0.053173341346529075
2021-07-28,594,25,0.05069137164888292
2021-07-29,454,17,0.05300918500176898
2021-07-30,232,16,0.0565194251760967
2021-07-31,653,25,0.057866040569103834
2021-08-01,167,21,0.05792739267127226
2021-08-02,415,22,0.05844493951216893
2021-08-03,582,23,0.0524078986854013
2021-08-04,588,25,0.05625540612835451
2021-08-05,487,20,0.05332892825702949
2021-08-06,674,18,0.05139487625956596
2021-08-07,414,27,0.0515506243613081
2021-08-08,266,28,0.05577681102943706
2021-08-09,380,15,0.058120168538127716
2021-08-10,394,16,0.06231567352400404
2021-08-11,319,23,0.059240234821718564
2021-08-12,174,10,0.05484093870909658
2021-08-13,214,12,0.0587256504885452
2021-08-14,206,9,0.058259259243461106
2021-08-15,94,7,0.05367350017494342
2021-08-16,240,16,0.05162095501894999
2021-08-17,241,9,0.04861305343291829
2021-08-18,250,10,0.05175123132837774
2021-08-19,232,10,0.056985949329053195
2021-08-20,257,9,0.07025849238883031
2021-08-21,198,13,0.10063786405450903
2021-08-22,90,10,
2021-08-23,94,15,
2021-08-24,8,2,
