date,0_39,40_59,60_79,80_89,90_+
2021-08-12,75.85714285714286,95.42857142857143,98.14285714285714,45.857142857142854,15.428571428571429
2021-08-13,78.85714285714286,97.0,100.0,47.57142857142857,15.285714285714286
2021-08-14,79.71428571428571,100.42857142857143,98.14285714285714,47.57142857142857,15.142857142857142
2021-08-15,83.57142857142857,101.71428571428571,100.28571428571429,48.0,16.0
2021-08-16,83.0,105.57142857142857,101.0,49.42857142857143,15.428571428571429
2021-08-17,84.85714285714286,103.14285714285714,100.0,48.714285714285715,15.714285714285714
2021-08-18,85.14285714285714,107.71428571428571,100.28571428571429,51.42857142857143,14.428571428571429
2021-08-19,84.0,108.71428571428571,99.42857142857143,51.0,13.857142857142858
2021-08-20,81.28571428571429,109.42857142857143,97.57142857142857,49.714285714285715,14.857142857142858
2021-08-21,83.0,108.57142857142857,98.42857142857143,51.0,16.428571428571427
2021-08-22,80.42857142857143,107.71428571428571,98.14285714285714,51.57142857142857,16.0
2021-08-23,82.42857142857143,109.42857142857143,100.57142857142857,52.0,17.0
2021-08-24,80.57142857142857,111.57142857142857,105.85714285714286,52.0,16.0
2021-08-25,79.14285714285714,111.71428571428571,108.0,51.142857142857146,15.285714285714286
2021-08-26,78.71428571428571,114.0,109.57142857142857,52.285714285714285,15.428571428571429
2021-08-27,76.71428571428571,110.14285714285714,108.71428571428571,52.714285714285715,14.714285714285714
2021-08-28,74.28571428571429,110.28571428571429,108.28571428571429,51.57142857142857,14.428571428571429
2021-08-29,71.71428571428571,110.42857142857143,107.57142857142857,51.0,15.428571428571429
2021-08-30,71.14285714285714,107.57142857142857,104.42857142857143,51.142857142857146,16.571428571428573
2021-08-31,69.71428571428571,104.85714285714286,100.42857142857143,52.0,18.285714285714285
2021-09-01,69.85714285714286,102.85714285714286,98.57142857142857,50.57142857142857,19.714285714285715
2021-09-02,69.57142857142857,98.42857142857143,95.28571428571429,50.285714285714285,19.285714285714285
2021-09-03,70.42857142857143,101.28571428571429,94.57142857142857,50.0,19.428571428571427
2021-09-04,68.71428571428571,100.14285714285714,95.57142857142857,51.285714285714285,19.0
2021-09-05,69.28571428571429,97.0,94.57142857142857,50.42857142857143,19.0
2021-09-06,67.28571428571429,92.85714285714286,93.85714285714286,49.142857142857146,17.428571428571427
2021-09-07,68.14285714285714,95.42857142857143,89.57142857142857,46.0,16.142857142857142
2021-09-08,65.28571428571429,93.28571428571429,88.0,45.714285714285715,16.285714285714285
2021-09-09,62.857142857142854,93.14285714285714,88.28571428571429,44.714285714285715,17.285714285714285
2021-09-10,61.857142857142854,91.85714285714286,88.0,43.714285714285715,18.285714285714285
2021-09-11,58.42857142857143,89.14285714285714,85.28571428571429,42.142857142857146,19.0
2021-09-12,55.285714285714285,86.14285714285714,80.71428571428571,44.57142857142857,17.571428571428573
2021-09-13,51.42857142857143,84.57142857142857,81.42857142857143,45.42857142857143,18.142857142857142
2021-09-14,46.57142857142857,79.42857142857143,83.14285714285714,47.142857142857146,19.0
2021-09-15,43.57142857142857,74.71428571428571,83.71428571428571,47.0,17.857142857142858
2021-09-16,42.57142857142857,71.28571428571429,83.14285714285714,48.285714285714285,16.571428571428573
2021-09-17,38.57142857142857,65.14285714285714,81.14285714285714,47.714285714285715,15.142857142857142
2021-09-18,38.42857142857143,62.857142857142854,79.28571428571429,46.857142857142854,14.857142857142858
2021-09-19,37.142857142857146,60.57142857142857,80.14285714285714,43.142857142857146,15.142857142857142
2021-09-20,37.57142857142857,61.142857142857146,76.28571428571429,40.285714285714285,15.142857142857142
2021-09-21,38.0,58.714285714285715,71.71428571428571,38.714285714285715,14.428571428571429
2021-09-22,38.142857142857146,56.57142857142857,68.85714285714286,36.57142857142857,14.285714285714286
2021-09-23,38.0,55.285714285714285,65.71428571428571,33.285714285714285,14.285714285714286
2021-09-24,38.57142857142857,54.0,66.14285714285714,33.0,13.142857142857142
2021-09-25,38.142857142857146,51.142857142857146,62.42857142857143,33.142857142857146,13.0
2021-09-26,37.714285714285715,50.57142857142857,60.0,33.142857142857146,11.714285714285714
